,City,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,SheetName,Suspected
153,,10,Bolivia,0,3/14/2020 06:00,-16.2902,-63.5887,,0,2020-03-14-06-00,0
154,,10,China,0,3/14/2020 06:00,22.1667,113.55,Macau,10,2020-03-14-06-00,0
155,,10,Maldives,0,3/14/2020 06:00,3.2028,73.2207,,0,2020-03-14-06-00,0
156,,10,Senegal,0,3/14/2020 06:00,14.4974,-14.4524,,1,2020-03-14-06-00,0
157,,10,Sri Lanka,0,3/14/2020 06:00,7.8731,80.7718,,1,2020-03-14-06-00,0
158,,10,US,0,3/14/2020 06:00,38.8974,-77.0268,District of Columbia,0,2020-03-14-06-00,0
159,,10,US,0,3/14/2020 06:00,34.8405,-106.2485,New Mexico,0,2020-03-14-06-00,0
160,,10,US,0,3/14/2020 06:00,40.15,-111.8624,Utah,0,2020-03-14-06-00,0
161,,9,Denmark,0,3/14/2020 06:00,61.8926,-6.9118,Faroe Islands,0,2020-03-14-06-00,0
162,,9,Martinique,0,3/14/2020 06:00,14.6415,-61.0242,,0,2020-03-14-06-00,0
163,,9,US,1,3/14/2020 06:00,44.2998,-99.4388,South Dakota,0,2020-03-14-06-00,0
164,,8,Jamaica,0,3/14/2020 06:00,18.1096,-77.2975,,0,2020-03-14-06-00,0
165,,8,Lithuania,0,3/14/2020 06:00,55.1694,23.8813,,0,2020-03-14-06-00,0
166,,8,US,1,3/14/2020 06:00,38.5266,-96.7265,Kansas,0,2020-03-14-06-00,0
167,,7,Cambodia,0,3/14/2020 06:00,12.5657,104.991,,1,2020-03-14-06-00,0
168,,7,US,0,3/14/2020 06:00,43.4525,-71.5639,New Hampshire,0,2020-03-14-06-00,0
169,,6,Kazakhstan,0,3/14/2020 06:00,48.0196,66.9237,,0,2020-03-14-06-00,0
170,,6,New Zealand,0,3/14/2020 06:00,-40.9006,174.886,,0,2020-03-14-06-00,0
171,,6,Paraguay,0,3/14/2020 06:00,-23.4425,-58.4438,,0,2020-03-14-06-00,0
172,,6,Reunion,0,3/14/2020 06:00,-21.1151,55.5364,,0,2020-03-14-06-00,0
173,,6,US,0,3/14/2020 06:00,32.3182,-86.9023,Alabama,0,2020-03-14-06-00,0
174,,6,US,0,3/14/2020 06:00,39.3185,-75.5071,Delaware,0,2020-03-14-06-00,0
175,,6,US,0,3/14/2020 06:00,32.7416,-89.6787,Mississippi,0,2020-03-14-06-00,0
176,,5,Australia,0,3/14/2020 06:00,-41.4545,145.9707,Tasmania,0,2020-03-14-06-00,0
177,,5,France,0,3/14/2020 06:00,4.0,-53.0,Fench Guiana,0,2020-03-14-06-00,0
178,,5,French Guiana,0,3/14/2020 06:00,3.9339,-53.1258,,0,2020-03-14-06-00,0
179,,5,Turkey,0,3/14/2020 06:00,38.9637,35.2433,,0,2020-03-14-06-00,0
180,,5,US,0,3/14/2020 06:00,46.9219,-110.4544,Montana,0,2020-03-14-06-00,0
181,,5,US,0,3/14/2020 06:00,44.0459,-72.7107,Vermont,0,2020-03-14-06-00,0
182,,4,Canada,0,3/14/2020 06:00,53.7609,-98.8139,Manitoba,0,2020-03-14-06-00,0
183,,4,Cuba,0,3/14/2020 06:00,21.5218,-77.7812,,0,2020-03-14-06-00,0
184,,4,Liechtenstein,0,3/14/2020 06:00,47.166,9.5554,,0,2020-03-14-06-00,0
185,,4,US,0,3/14/2020 06:00,21.0943,-157.4983,Hawaii,0,2020-03-14-06-00,0
